specification,k,n,silhouette,davies_bouldin,calinski_harabasz,inertia,gmm_bic,min_cluster_n,min_cluster_share_percent,bootstrap_ari_median,bootstrap_ari_q1,bootstrap_ari_q3,leave_cycle_out_ari_median,flag_small_or_unstable
core6_all_equal,2,1376,0.22638387526120585,1.6485693708946225,433.242830624329,6276.823350894798,19739.43285731099,604,43.895348837209305,0.9412413559946669,0.9125272460410089,0.9589666917627071,0.9834423351785425,False
core6_all_equal,3,1376,0.20953749153676843,1.6143725811686762,357.5448057908693,5428.640579947767,19489.337499293353,323,23.473837209302324,0.9125043920653124,0.8815068120551012,0.9327102649727418,0.9577144345559503,False
core6_all_equal,4,1376,0.17671474145774344,1.5858933327612017,316.72518476183177,4877.853433215236,19431.492120298568,121,8.793604651162791,0.659609275326424,0.35488771844936406,0.8184734830431346,0.8638960157873752,True
core6_all_equal,5,1376,0.18099176492552752,1.4367430870651952,303.0758311808941,4381.589994357773,19403.912296762355,109,7.921511627906977,0.7821476817254862,0.7012607222732206,0.811502345623111,0.9054583002077774,False
core6_all_equal,6,1376,0.17582401088047647,1.355602371589092,293.06152660874375,3989.2509267925525,19377.47318316709,100,7.267441860465117,0.7938311053551759,0.686128866733529,0.8546738550937167,0.883615765050916,False
core6_all_equal,7,1376,0.1754705416098968,1.433557741966153,277.60661365840474,3724.483030794501,19516.27712766271,85,6.1773255813953485,0.5241390808134103,0.4293350684649344,0.8050288211512646,0.9262392873223051,True
core6_all_equal,8,1376,0.169208349862883,1.3941497638089453,263.7075669557166,3514.151411046407,19625.233483684267,72,5.232558139534884,0.55024002557956,0.5198369357202692,0.6708507341369851,0.8582284153357815,True
core6_all_equal,9,1376,0.16543386193165796,1.4150208555192199,250.6270323709001,3346.977467383601,19717.448029595602,57,4.142441860465116,0.5000205803450353,0.46387181588624105,0.619875187435341,0.5076176727735418,True
core6_all_equal,10,1376,0.16722211400888415,1.3705865917419282,239.94700531242916,3198.8717268490313,19797.41812601014,48,3.488372093023256,0.5372514256913137,0.4705858233913464,0.5765162212193256,0.6527729532130795,True
core6_all_equal,11,1376,0.1667279938040308,1.351694191818751,231.04488381495048,3066.13980938281,19923.98183192227,47,3.4156976744186043,0.5164209651919125,0.47672585803966133,0.5731170691682449,0.6536975732358545,True
core6_all_equal,12,1376,0.17045291130320034,1.343580264396186,223.49249777441491,2946.089502814514,20001.26949745584,20,1.4534883720930232,0.5352763110524135,0.4803038966596044,0.5647806536332313,0.6202495375423625,True
core6_all_equal,13,1376,0.16106342392470208,1.3665174568265006,214.71168918318705,2856.406389630262,20131.21394902457,15,1.0901162790697674,0.4158838282215434,0.3820242586468543,0.47456689434264937,0.6030150608025374,True
core6_all_equal,14,1376,0.15487605885525582,1.406471119305056,207.48834776533613,2770.0681382662297,20254.954724837215,14,1.0174418604651163,0.4523806374999356,0.42059512317935477,0.5041109100926185,0.48588757614837197,True
core6_all_equal,15,1376,0.15372588303965437,1.409416301869075,201.54427963752212,2686.453999777469,20393.84413739227,15,1.0901162790697674,0.4399922617779787,0.4073630574393591,0.509869978257354,0.5204947343304834,True
core6_all_equal,16,1376,0.15606916451239242,1.4089970776594463,196.01977104534856,2611.019921186274,20488.94988681443,15,1.0901162790697674,0.40021028283839155,0.37724108601554956,0.43499736460187877,0.3972690370328287,True
core6_all_equal,17,1376,0.15425792490953977,1.410624630811285,190.3063353629272,2547.719185337478,20614.211369603887,14,1.0174418604651163,0.3840614530481242,0.3631150022851002,0.40783543153125645,0.41699859770011355,True
core6_all_equal,18,1376,0.15278298440241647,1.371854585082693,184.56272369066795,2493.934522367792,20501.668339549786,4,0.29069767441860467,0.3770533976165604,0.3420536234624306,0.39897888726777836,0.3638378255375257,True
core6_all_equal,19,1376,0.1533984358513441,1.3777086340144813,180.54784880080308,2431.8926320820046,20961.265133431432,12,0.872093023255814,0.3723604622823191,0.3440844795387201,0.40870716150105196,0.45361277351552637,True
core6_all_equal,20,1376,0.15461415921042754,1.355057925945748,176.44699773172056,2377.6473921635225,20898.11504129192,23,1.6715116279069766,0.39159504232994885,0.3599351883399119,0.41832384619026713,0.42189208679917634,True
