specification,k,n,silhouette,davies_bouldin,calinski_harabasz,inertia,gmm_bic,min_cluster_n,min_cluster_share_percent,bootstrap_ari_median,bootstrap_ari_q1,bootstrap_ari_q3,leave_cycle_out_ari_median,flag_small_or_unstable
core6_operational_positive_weighted,2,734,0.2151136513889355,1.6571326459032776,209.02804891002953,5823.777098193558,12984.515238151807,291,39.6457765667575,0.8988615541420955,0.8833391234020489,0.9236111544740248,0.9072467574219799,False
core6_operational_positive_weighted,3,734,0.20683675999428147,1.5582676465476382,193.2080925524167,4897.772981054994,12929.057174169699,177,24.114441416893733,0.838816900909163,0.6815631503850877,0.9206012091263357,0.9367454496767471,False
core6_operational_positive_weighted,4,734,0.2072772494731803,1.3869076333736492,187.43517401196567,4229.157816636015,12929.644164121632,77,10.490463215258854,0.8732298749718719,0.8518304249876334,0.9123787546989949,0.9279676618432646,False
core6_operational_positive_weighted,5,734,0.17758711674141492,1.4320340939873943,170.41327636155177,3869.0427709891187,12952.862750801483,64,8.71934604904632,0.7565065526831437,0.7012230759136977,0.8095961842207083,0.8828016104159406,False
core6_operational_positive_weighted,6,734,0.16081360657373941,1.490357209413581,155.54933152022548,3619.7260491902807,13085.582108138102,55,7.493188010899182,0.5439275318037915,0.48029127190667853,0.6546974816684235,0.7465310853484551,True
core6_operational_positive_weighted,7,734,0.1637131933111792,1.4249023275133779,145.08535775691712,3407.1124978820912,13136.367792911318,62,8.446866485013624,0.49452535226036026,0.4409042715357463,0.6170206039643922,0.5296795569731974,True
core6_operational_positive_weighted,8,734,0.1711576525407136,1.370955259997145,139.0397648840631,3198.6618240634853,13179.224384255012,11,1.4986376021798364,0.47209934641833873,0.4105169696541431,0.5240704636032905,0.6105074702267057,True
core6_operational_positive_weighted,9,734,0.16959506948428152,1.3796500084757473,135.03395072104777,3006.7110027411613,13357.248848805048,14,1.9073569482288828,0.4974858380783431,0.4451230123215026,0.5517492720535035,0.8161271735121367,True
core6_operational_positive_weighted,10,734,0.16050017181674775,1.3914420320723888,129.80506701592034,2864.5558435944513,13498.832441766057,11,1.4986376021798364,0.4594345831842903,0.3971483678363893,0.5166067612342666,0.5791610252823505,True
core6_operational_positive_weighted,11,734,0.16199824284608713,1.3699909904260654,125.48082746055627,2736.845865952054,13632.455807460527,11,1.4986376021798364,0.47007178034974983,0.43510966565629294,0.5340965211195904,0.5612777916630026,True
core6_operational_positive_weighted,12,734,0.1720228857509185,1.3328412325672299,122.28820329652703,2614.9126497559637,13713.990861079863,9,1.226158038147139,0.4930713087275673,0.4430336220319968,0.5277677492209634,0.5849372744359449,True
core6_operational_positive_weighted,13,734,0.17317081692145012,1.3195613857563617,119.08020097975232,2510.7335693318328,13813.629888676074,6,0.8174386920980926,0.46775685191274086,0.4158735259736989,0.5112709083316176,0.5087683377887586,True
core6_operational_positive_weighted,14,734,0.17507981841777254,1.2533154847263897,116.40042334133214,2413.7930842920746,13803.899609370654,3,0.4087193460490463,0.46755509154642033,0.4270536672652775,0.5015185198634234,0.501775400076852,True
core6_operational_positive_weighted,15,734,0.16286673538387247,1.2916094028553275,113.16385929520355,2337.091630324556,14044.219975331762,3,0.4087193460490463,0.46688012599055706,0.4192444411965235,0.5064099482509115,0.5586022915638433,True
core6_operational_positive_weighted,16,734,0.1616800476353632,1.3225997394744329,109.69076331865357,2274.524026149635,14045.292697424607,4,0.544959128065395,0.426742939090704,0.3855335598604271,0.46700551096435367,0.46675966657188883,True
core6_operational_positive_weighted,17,734,0.1626073958141918,1.318803529385303,107.56608835468596,2201.7675096127277,14111.665959057878,3,0.4087193460490463,0.4353850979876632,0.3983015142448095,0.4790126513336327,0.47746948851497595,True
core6_operational_positive_weighted,18,734,0.16284720567091163,1.2963275176409088,105.1025003861822,2141.86988311359,14372.225368493415,3,0.4087193460490463,0.4325207054190673,0.3982908484378537,0.47392265714257276,0.5098384949440424,True
core6_operational_positive_weighted,19,734,0.16109008522409365,1.3097052793376147,101.74662156350276,2102.1754711148765,14524.601085261933,4,0.544959128065395,0.41728521550867365,0.39220400801914673,0.4731611091202117,0.42046153577512074,True
core6_operational_positive_weighted,20,734,0.15689360832930496,1.3241562650682686,99.80983451240498,2047.8095759080259,14513.260671219228,3,0.4087193460490463,0.3963824767813582,0.3704440508234943,0.442772096826173,0.47290273588402326,True
expanded8_recent_equal,2,728,0.22123315818964612,1.605403844140355,252.17840142024116,4322.548927538104,14377.942767978742,364,50.0,0.9191695268502937,0.8723042852994041,0.9484180874917794,0.9480572973250764,False
expanded8_recent_equal,3,728,0.1633507463989407,1.8028273878232959,193.67473230647775,3795.929367817149,14446.27406623077,189,25.961538461538463,0.8520435115856984,0.7883745779414751,0.91008290277799,0.9726296325035925,False
expanded8_recent_equal,4,728,0.13864305094515592,1.9069300629642882,158.21403085746869,3517.7940322042305,14470.420930678994,119,16.346153846153847,0.5129254962346879,0.3859918693407694,0.6452784265945255,0.6916128753419425,True
expanded8_recent_equal,5,728,0.1360274658552285,1.8360974669629315,140.99795934356155,3271.778326575004,14658.086477632538,113,15.521978021978022,0.5263456248836229,0.4690643017373385,0.699809965292733,0.6465831075027046,True
expanded8_recent_equal,6,728,0.13921392955614925,1.7684527521179316,129.66010040813688,3068.6174264242923,14788.719023428705,96,13.186813186813188,0.491652279354613,0.4453437342159824,0.5842784735913871,0.6084088103048305,True
expanded8_recent_equal,7,728,0.13703047756551445,1.682189080854608,121.5836036318741,2894.9323026708985,14971.032937694505,91,12.5,0.582501031692017,0.5263955280049476,0.7159690841019003,0.864354695613139,True
expanded8_recent_equal,8,728,0.13542802861785738,1.688045885208607,112.86248378838,2776.9378675235757,15200.314215330194,52,7.142857142857142,0.6023466133968554,0.536990267840207,0.6608643549369289,0.7407936053486515,True
expanded8_recent_equal,9,728,0.12885531002798717,1.652490581440337,105.2027658569615,2683.1966098268754,15284.697886609967,41,5.631868131868132,0.5103804025787879,0.4929767775265924,0.5454594506938337,0.6155902737477801,True
expanded8_recent_equal,10,728,0.13126709281634868,1.630790948795348,100.09163606755655,2583.128325404447,15478.459681496464,41,5.631868131868132,0.5222297457238871,0.46734938212650384,0.5436516189239747,0.674378600967674,True
expanded8_recent_equal,11,728,0.13501800954641702,1.593126551547787,95.1053000153683,2503.4024695949533,15835.339854662878,11,1.510989010989011,0.49254372162633875,0.44574189653004487,0.5282393481779235,0.597253608967382,True
expanded8_recent_equal,12,728,0.13230904162611914,1.6293460504692565,91.4541589651195,2421.599474534553,15964.55169860195,10,1.3736263736263736,0.48386389074518943,0.44059108394058644,0.5593637119519385,0.44414658656670564,True
expanded8_recent_equal,13,728,0.12562295997346862,1.6757665500140686,87.30043613365841,2362.5029136477565,16166.462821372112,19,2.60989010989011,0.42464744113454694,0.38978615604182354,0.46368058485544195,0.4566949518476667,True
expanded8_recent_equal,14,728,0.12997075668195482,1.6254246547499047,84.0563297573927,2301.578396685951,16399.453135674485,8,1.098901098901099,0.43810686715622066,0.4077486373355586,0.494609190576697,0.4550880464843578,True
expanded8_recent_equal,15,728,0.12668257683981668,1.6307466584771009,81.07555137399054,2246.960122932187,16505.89519775738,11,1.510989010989011,0.45131907236388247,0.4084977714254783,0.48622468629343735,0.47681278311906156,True
